index,angle,X,Y,Z,Total_in_Debye
0,0,3.5768,0.1817,5.2088,6.3213
0,-105,2.6528,2.7543,5.9314,7.0573
0,105,0.0304,3.8778,5.6087,6.8188
0,-120,2.5291,2.7831,5.9046,7.0005
0,120,0.2354,3.4946,5.5990,6.6043
0,-15,3.1379,0.4146,5.3498,6.2160
0,15,3.7712,0.1169,5.2543,6.4687
0,135,0.5344,3.0736,5.5843,6.3967
0,-135,2.4689,2.7854,5.7872,6.8808
0,-150,2.4412,2.7771,5.6223,6.7292
0,150,0.9792,2.7023,5.5340,6.2359
0,-165,2.3182,2.7370,5.4912,6.5588
0,165,1.5053,2.5592,5.4669,6.2211
0,180,2.1297,2.6439,5.3801,6.3617
0,-30,2.8275,0.7808,5.4993,6.2327
0,30,3.9673,0.0543,5.3328,6.6469
0,-45,2.6566,1.3624,5.6383,6.3800
0,45,4.0692,0.0089,5.4939,6.8368
0,-60,2.6245,1.8754,5.7441,6.5879
0,60,-0.3779,4.2105,5.5596,6.9842
0,-75,2.6593,2.2827,5.8309,6.8031
0,75,-0.2522,4.2709,5.6149,7.0591
0,-90,2.6911,2.6015,5.8922,6.9806
0,90,-0.1074,4.1855,5.6173,7.0060
1,0,1.8042,-0.1404,5.0438,5.3586
1,-105,4.9555,-1.5528,6.1999,8.0874
1,105,1.2998,-0.5244,4.7347,4.9378
1,-120,3.4971,3.9018,6.0251,7.9847
1,120,1.5151,0.0793,4.8900,5.1200
1,-15,2.0632,-0.8592,5.2893,5.7421
1,15,1.4491,0.7191,4.8733,5.1348
1,135,1.5536,0.9183,5.0891,5.3996
1,-135,3.4018,3.6445,5.9300,7.7473
1,-150,3.1892,3.3232,5.8789,7.4683
1,150,1.2333,1.8380,5.4387,5.8718
1,-165,2.7970,2.9552,5.9096,7.1749
1,165,1.5971,2.3226,5.6362,6.3018
1,180,2.2065,2.6659,5.9083,6.8472
1,-30,2.5533,-1.1019,5.4979,6.1612
1,30,0.9499,1.1468,4.7557,4.9834
1,-45,3.1663,-1.0806,5.8415,6.7317
1,45,0.4752,1.6238,4.5652,4.8686
1,-60,3.8215,-1.0953,5.9769,7.1782
1,60,0.0169,2.2374,4.2304,4.7857
1,-75,4.3827,-1.2040,6.0875,7.5970
1,75,1.0011,-1.8457,4.2886,4.7750
1,-90,4.7716,-1.3697,6.1689,7.9183
1,90,1.1279,-1.1685,4.5286,4.8110
2,0,3.4653,-1.1763,5.9233,6.9626
2,-105,5.8246,2.9498,3.2131,7.2768
2,105,5.2816,0.1548,5.0555,7.3128
2,-120,5.4657,2.7244,3.4427,7.0106
2,120,4.8134,1.0100,4.7808,6.8589
2,-15,2.7921,2.8590,5.9214,7.1437
2,15,3.8500,-1.1012,5.9162,7.1440
2,135,4.3903,1.7126,4.6279,6.6049
2,-135,5.3506,2.7216,3.7918,7.1002
2,-150,5.3314,2.8631,4.1365,7.3302
2,150,4.2367,2.1166,4.6274,6.6214
2,-165,4.9834,2.8051,4.2817,7.1440
