index,angle,X,Y,Z
0,0,-2.778769,0.376495,-10.680783
0,-105,-2.977000,0.872622,-10.568891
0,105,-3.513641,1.158396,-10.630164
0,-120,-2.998757,0.897871,-10.572952
0,120,-3.466557,1.102779,-10.641534
0,-15,-2.834530,0.444149,-10.680979
0,15,-2.740598,0.345085,-10.669804
0,135,-3.403167,1.043438,-10.653429
0,-135,-3.014419,0.913155,-10.579293
0,-150,-3.031040,0.920216,-10.589439
0,150,-3.312979,0.985251,-10.660237
0,-165,-3.065089,0.921398,-10.607390
0,165,-3.215904,0.945285,-10.651369
0,180,-3.115986,0.918918,-10.630643
0,-30,-2.886727,0.522765,-10.670827
0,30,-2.704163,0.317578,-10.658245
0,-45,-2.931870,0.621682,-10.645846
0,45,-2.683578,0.296405,-10.647935
0,-60,-2.954345,0.704718,-10.618797
0,60,-3.616997,1.236807,-10.637297
0,-75,-2.961929,0.773433,-10.594494
0,75,-3.583909,1.231031,-10.625414
0,-90,-2.967214,0.832751,-10.576945
0,90,-3.549710,1.207622,-10.621000
1,0,-3.845109,3.362258,-10.765041
1,-105,-3.531992,3.248171,-10.509147
1,105,-3.141505,0.420005,-10.939478
1,-120,-2.914898,0.970824,-10.518880
1,120,-3.105588,0.517932,-10.875464
1,-15,-3.803686,3.240240,-10.690881
1,15,-3.903053,3.524623,-10.861417
1,135,-3.111504,0.672786,-10.792373
1,-135,-2.910239,0.944777,-10.520603
1,-150,-2.923584,0.914533,-10.532091
1,150,-3.166976,0.834539,-10.706713
1,-165,-2.958122,0.884969,-10.556524
1,165,-3.115931,0.877562,-10.646142
1,180,-3.029317,0.871824,-10.598112
1,-30,-3.744371,3.226079,-10.634147
1,30,-3.982196,3.589875,-10.927062
1,-45,-3.681206,3.274905,-10.588772
1,45,-4.063184,3.663829,-10.993961
1,-60,-3.614461,3.293438,-10.552075
1,60,-4.144583,3.766466,-11.073177
1,-75,-3.571658,3.288431,-10.527013
1,75,-3.194972,0.205357,-11.067947
